"ModelNo";"Coef1";"Coef2"
1;1,64240244845352;0,58939938788662
2;1,04462369865034;0,690050855244842
3;1,24123261382862;0,440929657210579
4;1,0193170410011;0,745170739749724
5;1,70020392076038;0,574949019809905
6;1,36774959119655;0,658062602200863
7;1,8199322887059;0,545016927823524
8;1,14362337823758;0,714094155440606
9;1,57598452323839;0,606003869190402
10;1,43027883412564;0,642430291468591
11;1,03950279330067;0,740124301674833
12;1,75423425905626;0,561441435235935
13;1,95566183359727;0,511084541600683
14;1,70584497823782;0,573538755440545
15;1,49431165118819;0,347507920117656
16;0,787837721613178;0,803040569596705
17;1,22892668619593;0,692768328451017
18;1,43226162641485;0,641934593396287
19;1,72939396890312;0,567651507774219
20;1,36589390422598;0,396944302453706
21;1,15029352081535;0,324333244013475
22;1,0552466203099;0,736188344922524
23;1,57181017953498;0,607047455116256
24;1,24400407307218;0,688998981731955
25;1,31637365376344;0,670906586559141
26;1,65496327431331;0,586259181421672
27;1,91074789088235;0,522313027279411
28;1,63142834410559;0,592142913973603
29;1,15304059978131;0,711739850054673
30;1,39821454044619;0,650446364888453
31;1,21224438531331;0,486355051357609
32;1,69624049648334;0,575939875879164
33;1,63462545896134;0,591343635259664
34;1,83023127223881;0,542442181940298
35;1,19074348921989;0,702314127695027
36;1,41904667344227;0,645238331639433
37;1,67505052389735;0,581237369025662
38;1,64351595570044;0,589121011074891
39;1,04349816078081;0,279821047634904
40;1,21718645034584;0,695703387413539
41;0,988055937645464;0,752986015588634
42;1,4333158746599;0,641671031335026
43;1,54546168812024;0,613634577969939
44;1,48013610359765;0,629965974100588
45;1,5351266673289;0,616218333167775
46;1,13004301745056;0,717489245637359
47;1,42728008460772;0,64317997884807
48;1,6953285727811;0,576167856804726
49;1,38690143583033;0,653274641042418
50;1,86559997135684;0,53360000716079
51;1,30994177124139;0,385163001173853
52;2,33380077763236;0,416549805591909
53;1,52330187829467;0,619174530426334
54;1,3603609692751;0,659909757681225
55;1,34555931085565;0,663610172286089
56;1,95368644455207;0,511578388861983
57;1,16129712273515;0,709675719316213
58;0,818079065939294;0,795480233515176
59;2,03983097866609;0,490042255333477
60;1,35783858094145;0,660540354764636
61;1,20159056890463;0,699602357773843
62;1,90065865408436;0,524835336478909
63;1,85197589408104;0,537006026479739
64;1,62535863285921;0,593660341785197
65;1,23538862970866;0,691152842572835
66;1,24023899465312;0,483001358429921
67;1,55022723161706;0,612443192095734
68;1,39813158848987;0,650467102877532
69;1,47998917843914;0,630002705390216
70;1,76087317681017;0,559781705797456
71;1,18316908804471;0,704207727988821
72;1,48534445725797;0,628663885685507
73;1,11542932911269;0,721142667721829
74;1,7380062840856;0,565498428978601
75;1,09334671490421;0,726663321273947
76;1,62755143851686;0,593112140370786
77;1,39007064155622;0,652482339610945
78;1,39999315330097;0,650001711674756
79;1,56626310886041;0,608434222784898
80;1,34645751614284;0,66338562096429
81;1,35593507301996;0,661016231745009
82;1,38528691599211;0,653678271001974
83;1,37108414612983;0,657228963467544
84;1,19856538490865;0,700358653772838
85;1,27194739361138;0,614084891907299
86;0,999731382249066;0,636082977643175
87;1,76923249272129;0,475510013129249
88;1,45062553615216;0,637343615961959
89;1,47784095433838;0,630539761415404
90;0,730031711540449;0,817492072114888
91;0,991560061681337;0,752109984579666
92;1,43167587296204;0,642081031759489
93;1,15887231853345;0,710281920366637
94;1,27072294179656;0,68231926455086
95;1,45424416658757;0,636438958353108
96;1,52635843168433;0,345004924924939
97;1,6251619076947;0,593709523076324
98;1,22415822609618;0,693960443475954
99;1,1843372821603;0,703915679459924
100;1,82746496433388;0,543133758916529
101;1,60597121821804;0,598507195445491
102;2,08298306344046;0,479254234139886
103;1,25459315281207;0,686351711796983
104;1,79475025498048;0,551312436254881
105;1,08780201415226;0,728049496461936
106;1,83065526749781;0,542336183125547
107;1,37929839232588;0,65517540191853
108;1,71167386322118;0,572081534194706
109;1,70201170161389;0,574497074596528
110;1,81674159775048;0,545814600562381
111;1,81210549960126;0,546973625099684
112;1,3705853460715;0,657353663482125
113;1,38101184103759;0,367793828641617
114;1,594982431553;0,199272461111088
115;1,74168779371895;0,564578051570263
116;1,68282393307928;0,57929401673018
117;1,01606546308768;0,745983634228081
118;2,15043483234774;0,462391291913064
119;1,36424696418132;0,658938258954669
120;1,32276080917292;0,66930979770677
121;1,35288969347873;0,661777576630317
122;1,45977869994616;0,63505532501346
123;0,90659981777473;0,773350045556318
124;1,14038046490023;0,714904883774944
125;1,39982949449466;0,650042626376334
126;1,69045022360759;0,577387444098102
127;1,42048074647249;0,644879813381878
128;1,49507750056511;0,626230624858723
129;1,55187977306641;0,612030056733398
130;1,87855496946749;0,28017622645125
131;1,46562313974793;0,633594215063018
132;1,72412864345766;0,568967839135584
133;1,6754065784807;0,581148355379825
134;1,49738731427849;0,625653171430378
135;1,56982331993215;0,351511303563603
136;1,34479631485037;0,663800921287407
137;1,21813194621301;0,695467013446747
138;1,37008638234442;0,657478404413894
139;1,68578450402886;0,578553873992785
140;1,10683005229656;0,723292486925861
141;1,00266627189701;0,749333432025748
142;1,68665348010866;0,578336629972834
143;1,63987187410924;0,590032031472691
144;1,18737052961287;0,703157367596783
145;1,37658373341458;0,655854066646354
146;1,03432556115707;0,741418609710731
